emoji;UTF code;Schtechworter
😂;1F602;Trana | Gsecht | lacha | lächelnd | Lächelt| lächelt | lachelt | witzig | komischer | komischi | Komische | komischen | komisch
❤️;2764;rot | Harz | root | roote | rooti | romantisch | Romantik | herzlichen | herzlichs | Herzlich | Herzliche | herzlich | herzliche | harzlig | harzlich | herzlicher | beleebt | belieabt | bliabt | beliebt | lieb | liebe
😭;1F62D;Gsecht | trürig | hila | Thrane | Thräne | Tränen | Traene | Dräne | Träne | Trürigkeit | Traurigkeit | drürig | traurig | traurige | Traurig | trürig | hile | hiele
😍;1F60D;Liawa | Lieb | Harz | Àuig | romantisch | Romantik | Härze | Harz | Herzig | Herzen | herzig | Harze | Härzer | Herzer | Härz | herzige | herzigi | Herze | Herz | Harza
♻️;267B;Umschüalung | wederverwandung | Recyclage | Sembohl | Nàtür | Nàdür | Àbfàll | Verlasung | Sortiarung | verlaasa | sortiara | Àtmosphärzüaschtànd | Wetterung
♥️;2665;Harz | Fàrb | Schpeel | root | roote | rooti | Gewinne | gewonne | gewinn | gewinne | Gewinn | gewinnen | gewunne
😊;1F60A;Gsecht | rota Bàcka | Lachla | lächelnd | Lächelt| lächelt | lachelt | frindli | freundlich | friendlich | friendli | Sympathischer | sympathische | Sympathische | sympathischen | sympathischi | friendlicher | frindli | friendlich | freundlich | frindlichs | friendli | freundlichen | freundliche | friendliche | frindlich | Freundlich | freundlicher
💕;1F495;Liawa | Lieb  | Harz | zwei Harzle | zärtlich | zärtli | Zärtlich | zärtlih | zärtliche | liebenswürdig | herrlischen | herrliche | herrlichen | herrlig | Herrlich | herrlicha | herrlich | herrlichs | lieb | liebe
😔;1F614;Gsecht | nohdanklig | Äntöischung | noochgedenkt | nochgedenkt | nochgedankt | schada | schaad | Schada | Schade | Leid | Leide | Leiden
😘;1F618;Harz | Schmetzla | Schmetzel | root | roote | rooti | herzlichen | herzlichs | Herzlich | Herzliche | herzlich | herzliche | harzlig | harzlich | herzlicher
😒;1F612;ewersättigt | blàseert | unzfreeda | aufgeregter | aufgeregten | aufgeregt | uffgerejt | ufgerejt | ufgeregt | ufgregt | ufigerejt | unangenehmi | unangenehme | unangenehm | unangenehmen
😩;1F629;ärschäpf | miad | meed | Empörung | gequält | schempfa | schimpfen | Schimpf | schimpfend | unzefriddene | unzufriedener | unzefridde | Empörend | empörend
😁;1F601;Lachla |Zàhn | Zehn | lachlanda Gsecht | lächelnd | Lächelt| lächelt | lachelt | witzig | wunderbari | wunderbare | wunderbara | wunderbar | wunderbarer | Fräide | Freud | Fraide | Freuden | Freide | Freude | Freida | Freid
☺️;263A;Lachla | lachlanda Gsecht | lächelnd | Lächelt| lächelt | lachelt | friendlicher | frindli | friendlich | freundlich | frindlichs | friendli | freundlichen | freundliche | friendliche | frindlich | Freundlich | freundlicher
🙏;1F64F;Hànd | batta | betta | Zammehalte | Heiligi | Heilig | heilige | Heiligen | Heiliger | heiligi | heilich | heil | heiligen | Heiliga | heilig | heiliger | Heilige | heilijeh | heiliga | Häiliger | bynander | binand | bienander | beieinander | binander | bienöönder | bienand | zamme | zusamm | zusammen | zammen | zsamme | Gebätter | Gebet | Gebat | Gebatt | Gebett | Gebætt | Glöüwe | glaube | glaauwe | gläuib | Gloiwa | Glauben | Glauwe | glauibe | glauib | gläube | glaub | Glaub | glauben | glab | glaüb | gläuwe | Gläuwe | Glaube | gläub | Glauiwe | glaub | glauwe | Gläub
👍;1F44D;Hànd | Düma | güat | Guten | güt | guete | Güeta | Güeter | Gut | Güte | güet | gueta | Gueter | güeta | Güate | Gueten | Güeten | gut | Güet | gueti | guet | Güete | güete | Gute | Gueti | Guter | Güata | gueten | Guet | Guete | Güter | gueter | güeter | Güat | giüet | güeti | danken | danka | Dank | danke | richtig | richti | richtich | Richti | Richtige | richtigen | rechti | richtiga | Richtig | richtige | richdi | Richtigi | richtger | richtigi
😉;1F609;Àuigableck | Gsecht | Droscht | Troscht | tröscht | Troste | Troeschter | Trost | Tröscht | tröescht | Tröschter | tröschte
👌;1F44C;OK | Hànd | Hàndbewegung | zefriede | zefredde | zufrieden | zefridde | zefriedde | zufriede | Zefridde
😅;1F605;Lachla | lachlanda Gsecht met Schwaistropfa | lächelnd | Lächelt| lächelt | lachelt | unruehich | unruhigen | unruhig | unruehig | nervös | nervöse | Schwetze | schwitz
👀;1F440;Kärwer | Àuig | Gsecht | Sehne | Sehn | überraschen | Erstaunen | Erstünne
