emoji	Schtechworter
☺️ ♥️ ♻️ ❤️ 👀 👌 👍 💕 😁 😂 😅 😉 😊 😍 😒 😔 😘 😩 😭 🙏	string
class	meta
😂	Trana | Gsecht | lacha | lächelnd | Lächelt| lächelt | lachelt | witzig | komischer | komischi | Komische | komischen | komisch
❤️	rot | Harz | root | roote | rooti | romantisch | Romantik | herzlichen | herzlichs | Herzlich | Herzliche | herzlich | herzliche | harzlig | harzlich | herzlicher | beleebt | belieabt | bliabt | beliebt | lieb | liebe
😭	Gsecht | trürig | hila | Thrane | Thräne | Tränen | Traene | Dräne | Träne | Trürigkeit | Traurigkeit | drürig | traurig | traurige | Traurig | trürig | hile | hiele
😍	Liawa | Lieb | Harz | Àuig | romantisch | Romantik | Härze | Harz | Herzig | Herzen | herzig | Harze | Härzer | Herzer | Härz | herzige | herzigi | Herze | Herz | Harza
♻️	Umschüalung | wederverwandung | Recyclage | Sembohl | Nàtür | Nàdür | Àbfàll | Verlasung | Sortiarung | verlaasa | sortiara | Àtmosphärzüaschtànd | Wetterung
♥️	Harz | Fàrb | Schpeel | root | roote | rooti | Gewinne | gewonne | gewinn | gewinne | Gewinn | gewinnen | gewunne
😊	Gsecht | rota Bàcka | Lachla | lächelnd | Lächelt| lächelt | lachelt | frindli | freundlich | friendlich | friendli | Sympathischer | sympathische | Sympathische | sympathischen | sympathischi | friendlicher | frindli | friendlich | freundlich | frindlichs | friendli | freundlichen | freundliche | friendliche | frindlich | Freundlich | freundlicher
💕	Liawa | Lieb  | Harz | zwei Harzle | zärtlich | zärtli | Zärtlich | zärtlih | zärtliche | liebenswürdig | herrlischen | herrliche | herrlichen | herrlig | Herrlich | herrlicha | herrlich | herrlichs | lieb | liebe
😔	Gsecht | nohdanklig | Äntöischung | noochgedenkt | nochgedenkt | nochgedankt | schada | schaad | Schada | Schade | Leid | Leide | Leiden
😘	Harz | Schmetzla | Schmetzel | root | roote | rooti | herzlichen | herzlichs | Herzlich | Herzliche | herzlich | herzliche | harzlig | harzlich | herzlicher
😒	ewersättigt | blàseert | unzfreeda | aufgeregter | aufgeregten | aufgeregt | uffgerejt | ufgerejt | ufgeregt | ufgregt | ufigerejt | unangenehmi | unangenehme | unangenehm | unangenehmen
😩	ärschäpf | miad | meed | Empörung | gequält | schempfa | schimpfen | Schimpf | schimpfend | unzefriddene | unzufriedener | unzefridde | Empörend | empörend
😁	Lachla |Zàhn | Zehn | lachlanda Gsecht | lächelnd | Lächelt| lächelt | lachelt | witzig | wunderbari | wunderbare | wunderbara | wunderbar | wunderbarer | Fräide | Freud | Fraide | Freuden | Freide | Freude | Freida | Freid
☺️	Lachla | lachlanda Gsecht | lächelnd | Lächelt| lächelt | lachelt | friendlicher | frindli | friendlich | freundlich | frindlichs | friendli | freundlichen | freundliche | friendliche | frindlich | Freundlich | freundlicher
🙏	Hànd | batta | betta | Zammehalte | Heiligi | Heilig | heilige | Heiligen | Heiliger | heiligi | heilich | heil | heiligen | Heiliga | heilig | heiliger | Heilige | heilijeh | heiliga | Häiliger | bynander | binand | bienander | beieinander | binander | bienöönder | bienand | zamme | zusamm | zusammen | zammen | zsamme | Gebätter | Gebet | Gebat | Gebatt | Gebett | Gebætt | Glöüwe | glaube | glaauwe | gläuib | Gloiwa | Glauben | Glauwe | glauibe | glauib | gläube | glaub | Glaub | glauben | glab | glaüb | gläuwe | Gläuwe | Glaube | gläub | Glauiwe | glaub | glauwe | Gläub
👍	Hànd | Düma | güat | Guten | güt | guete | Güeta | Güeter | Gut | Güte | güet | gueta | Gueter | güeta | Güate | Gueten | Güeten | gut | Güet | gueti | guet | Güete | güete | Gute | Gueti | Guter | Güata | gueten | Guet | Guete | Güter | gueter | güeter | Güat | giüet | güeti | danken | danka | Dank | danke | richtig | richti | richtich | Richti | Richtige | richtigen | rechti | richtiga | Richtig | richtige | richdi | Richtigi | richtger | richtigi
😉	Àuigableck | Gsecht | Droscht | Troscht | tröscht | Troste | Troeschter | Trost | Tröscht | tröescht | Tröschter | tröschte
👌	OK | Hànd | Hàndbewegung | zefriede | zefredde | zufrieden | zefridde | zefriedde | zufriede | Zefridde
😅	Lachla | lachlanda Gsecht met Schwaistropfa | lächelnd | Lächelt| lächelt | lachelt | unruehich | unruhigen | unruhig | unruehig | nervös | nervöse | Schwetze | schwitz
👀	Kärwer | Àuig | Gsecht | Sehne | Sehn | überraschen | Erstaunen | Erstünne
